Row 1: BÁO CÁO HIỆU QUẢ KINH TẾ (TRẢ CHẬM 4 NĂM) |  |  |  |  |  |  |  |  |  |  |  | 
Row 2:  |  |  |  |  |  |  |  |  |  |  |  | 
Row 3: 1. THÔNG TIN DỰ ÁN & HỆ THỐNG |  |  |  |  |  |  |  |  |  |  |  | 
Row 4: Vị trí lắp đặt: |  |  | Khu vực Q. Thủ Đức |  |  |  | Công suất Solar: |  |  | 66 kWp |  | 
Row 5: PVOUT hàng năm: |  |  | 1.446 kWh/kWp |  |  |  | Lưu trữ BESS: |  |  | 60 kWh |  | 
Row 6:  |  |  |  |  |  |  |  |  |  |  |  | 
Row 7: 2. THÔNG TIN TÀI CHÍNH & GIẢ ĐỊNH |  |  |  |  |  |  |  |  |  |  |  | 
Row 8: Tổng mức đầu tư: |  |  | 1.800.000.000 VNĐ |  |  |  | Thời hạn vay: |  |  | 48 tháng (4 năm) |  | 
Row 9: Tỷ lệ Vốn tự có: |  |  | 0.3 |  |  |  | Lãi suất vay (cố định): |  |  | 9.5%/năm |  | 
Row 10: Số tiền Vốn tự có: |  |  | 540.000.000 VNĐ |  |  |  | Giá điện mua bình quân: |  |  | 3.638 VNĐ/kWh |  | 
Row 11: Số tiền Vay: |  |  | 1.260.000.000 VNĐ |  |  |  | Mức tăng giá điện: |  |  | 5%/năm |  | 
Row 12: Hệ số suy giảm: |  |  | Solar: 3%/năm | BESS: 10%/năm |  |  |  | Thời gian bảo trì miễn phí: |  |  | 36 tháng |  | 
Row 13:  |  |  |  |  |  |  |  |  |  |  |  | 
Row 14: 3. TỔNG HỢP HIỆU QUẢ ĐẦU TƯ |  |  |  |  |  |  |  |  |  |  |  | 
Row 15: Lợi nhuận trung bình: |  |  | 1.738.369 VNĐ/tháng |  |  |  | Thời gian hoàn cọc: |  |  | ~1.1 năm |  | 
Row 16: Tiết kiệm (Sau hoàn cọc): |  |  | 41.293.617 VNĐ/tháng |  |  |  |  |  |  |  495.523.399 VNĐ/năm  |  | 
Row 17:  |  |  |  |  |  |  |  |  |  |  |  | 
Row 18:  4. BẢNG DÒNG TIỀN CHI TIẾT HÀNG THÁNG  |  |  |  |  |  |  |  |  |  |  |  | 
Row 19:  Tháng  |  Sản lượng nắng  |  Sản lượng điện  |  Sản lượng điện  |  Giá điện TB  |  Giá điện TB  |  Doanh thu Solar  |  Doanh thu BESS  |  Tổng Doanh thu  |  Gốc + Lãi Vay  |  Chi phí Bảo Trì  |  Lợi nhuận Ròng  |  Lũy kế Hoàn vốn 
Row 20:  |  |  Solar (kWh)  |  BESS (kWh)  |  Solar (VNĐ)  |  BESS (VNĐ)  |  (VNĐ)  |  (VNĐ)  |  Tiết kiệm (VNĐ)  |  (VNĐ)  |  (36 tháng miễn phí)  |  (VNĐ)  |  Vốn tự có (VNĐ) 
Row 21: 1 | 128 | =(66*B21-D21)*90% | =60*30*90% | 3638 | 5422 | =C21*E21 | =D21*F21 | =G21+H21 | 32000000 | 0 | =I21-J21-K21 | -537197384
Row 22: 2 | 134 | =(66*B22-D22)*90% | =60*30*90% | 3638 | 5422 | =C22*E22 | =D22*F22 | =G22+H22 | 32000000 | 0 | =I22-J22-K22 | -534132832
Row 23: 3 | 148 | =(66*B23-D23)*90% | =60*30*90% | 3638 | 5422 | =C23*E23 | =D23*F23 | =G23+H23 | 32000000 | 0 | =I23-J23-K23 | -527706768
Row 24: 4 | 132 | =(66*B24-D24)*90% | =60*30*90% | 3638 | 5422 | =C24*E24 | =D24*F24 | =G24+H24 | 32000000 | 0 | =I24-J24-K24 | -525122432
Row 25: 5 | 118 | =(66*B25-D25)*90% | =60*30*90% | 3638 | 5422 | =C25*E25 | =D25*F25 | =G25+H25 | 32000000 | 0 | =I25-J25-K25 | -525899608
Row 26: 6 | 107 | =(66*B26-D26)*90% | =60*30*90% | 3638 | 5422 | =C26*E26 | =D26*F26 | =G26+H26 | 32000000 | 0 | =I26-J26-K26 | -529317972
Row 27: 7 | 107 | =(66*B27-D27)*90% | =60*30*90% | 3638 | 5422 | =C27*E27 | =D27*F27 | =G27+H27 | 32000000 | 0 | =I27-J27-K27 | -532736336
Row 28: 8 | 114 | =(66*B28-D28)*90% | =60*30*90% | 3638 | 5422 | =C28*E28 | =D28*F28 | =G28+H28 | 32000000 | 0 | =I28-J28-K28 | -534473944
Row 29: 9 | 105 | =(66*B29-D29)*90% | =60*30*90% | 3638 | 5422 | =C29*E29 | =D29*F29 | =G29+H29 | 32000000 | 0 | =I29-J29-K29 | -538372524
Row 30: 10 | 115 | =(66*B30-D30)*90% | =60*30*90% | 3638 | 5422 | =C30*E30 | =D30*F30 | =G30+H30 | 32000000 | 0 | =I30-J30-K30 | -539870024
